Post Title,pysentimiento Sentiment,VADER Sentiment
How is AMLO so cool?,Neutral,Positive
Why is AMLO so popular?,Neutral,Positive
Entonces no toda la gente ama a AMLO ?,Neutral,Negative
Mexico's half a million march against AMLO,Neutral,Neutral
AMLO en 60 Minutes.,Neutral,Neutral
What are your thoughts on Mexico's president A...,Neutral,Neutral
¿Por que el hate a AMLO?,Neutral,Negative
Is true that AMLO has made no plans to track a...,Neutral,Positive
Como fue realmente el gobierno de AMLO,Neutral,Neutral
What do you think of AMLO saying that he wo...,Neutral,Neutral
"In the USA, Amlo is constantly described as a...",Neutral,Neutral
Do Mexicans actually like AMLO? Because fro...,Neutral,Positive
Amlo es el anticristo,Neutral,Neutral
"Mexican Redditors, is AMLO a left-wing or a ri...",Neutral,Neutral
Amlo tiene otros datos,Neutral,Neutral
¿Este sexenio fue el peor de todos con el p...,Neutral,Neutral
Mexico election: leftist Amlo set for histo...,Neutral,Neutral
"I knew AMLO was popular, but not this popular.",Neutral,Negative
AMLO rompe relaciones con Ecuador por la vio...,Neutral,Neutral
What's your opinion on AMLO?,Neutral,Neutral
Pregunta incomoda a AMLO .,Neutral,Neutral
Why do you guys hate Amlo Manuel Lopez Obrador?,Neutral,Negative
How is AMLO so cool?,Neutral,Positive
What's going on with how Mexican redditors went...,Neutral,Neutral
Evil amlo,Neutral,Negative
